wmo_id;name;lat;lon;alt;country_alpha2;name_rus;name_eng;additional_name
23339;Полуй;66.03;68.68;27;RU;Полуй;Poluy;Янги-Юган
23341;Яр-Сале;66.83;71.33;19;RU;Яр-Сале;Yar-Sale;Яр-Сале
23345;Ныда;66.63;72.93;5;RU;Ныда;Nyda;Ныда
23358;Новый Уренгой;66.1;76.78;58;RU;Новый Уренгой;Novy Urengoy;Новый Уренгой
23365;Сидоровск;66.6;82.3;34;RU;Сидоровск;Sidorovsk;Сидоровск
23375;Курейка;66.46;87.21;28;RU;Курейка;Kureyka;Курейка
23383;Агата;66.92;93.48;277;RU;Агата;Agata;Агата
23405;Усть-Цильма;65.43;52.26;70;RU;Усть-Цильма;Ust-Cilma;Усть-Цильма
23411;Мутный Материк;65.95;55.16;71;RU;Мутный Материк;Mutny Materik;Мутный Материк
23412;Усть-Уса;65.98;56.9;77;RU;Усть-Уса;Ust-Usa;Усть-Уса
23416;Кожим Рудник;65.71;59.58;90;RU;Кожим Рудник;Kozhim Rudnik;Кожим
23417;Усинск;66;57.4;75;RU;Усинск;;Усинск
23418;Печора;65.12;57.13;53;RU;Печора;Pechora;Печора
23423;Хальмер-Ю;67.93;64.76;217;RU;Хальмер-Ю;Khalmer-Yu;Хальмер-Ю
23426;Мужи;65.48;64.71;18;RU;Мужи;Muzhi;Мужи
23431;Питляр;65.83;65.93;15;RU;Питляр;Pitlyar;Питляр
23443;Пангоды;65.83;74.5;50;RU;Пангоды;Pangody;Правая Хетта
23445;Надым;65.46;72.66;14;RU;Надым;Nadym;Надым
23453;Уренгой;65.95;78.4;22;RU;Уренгой;Urengoy;Уренгой
23463;Янов Стан;65.97;84.32;41;RU;Янов Стан;Yanov Stan;Янов Стан
23465;Красноселькупск;65.7;82.45;23;RU;Красноселькупск;Krasnoselkupsk;Красноселькуп
23471;Нижневартовск;60.91;76.6;50;RU;Нижневартовск;Nizhnevartovsk;Нижневартовск
23472;Туруханск;65.79;87.98;37;RU;Туруханск;Turukhansk;Туруханск
23484;Большой Порог;65.63;90.05;61;RU;Большой Порог;Bolshoi Porog;Большой Порог
23501;Левкинская;64.76;51.08;162;RU;Левкинская;Levkinskaya;Левкинская
23503;Ижма;65.03;53.96;51;RU;Ижма;Izhma;Ижма
23509;Кедва-Вом;64.21;53.56;62;RU;Кедва-Вом;Kedva-Vom;Кедва-Вом
23514;Ираель;64.51;55.4;157;RU;Ираель;Irael;Ираёль
23516;Неройка;64.56;59.66;432;RU;Неройка;Neroika;Неройка
23518;Усть-Щугор;64.26;57.61;73;RU;Усть-Щугор;Ust-Shchugor;Усть-Щугор
23523;Овгорт;64.8;63.9;80;RU;Овгорт;;Овгорт
23527;Саранпауль;64.28;60.88;27;RU;Саранпауль;Saranpaul;Саран-Пауль
23531;Казым-Мыс АМС;64.67;65.63;34;RU;Казым-Мыс АМС;Kazym-Mys AMS;Казымский Мыс
23532;Самгымгорт;64.8;67.2;60;RU;Самгымгорт;;Самгымгорт
23552;Тарко-Сале;64.91;77.81;26;RU;Тарко-Сале;Tarko-Sale;Тарко-Сале
23558;Харампур;64.3;78.1;40;RU;Харампур;;Харампур
23578;Верещагино;64.23;87.57;34;RU;Верещагино;Vereshchagino;Верещагино
23589;Тутончаны;64.2;93.79;105;RU;Тутончаны;Tutonchany;Тугончани
23606;Ухта;63.57;53.8;133;RU;Ухта;Uhta;Ухта
23609;Изваиль;63.1;54.5;112;RU;Изваиль;;Изваиль
23612;Вуктыл;63.83;57.33;110;RU;Вуктыл;Vuktyl;Вуктыл
23625;Сосьва;63.65;62.1;26;RU;Сосьва;Sosva;Сосьва
23628;Сартынья;63.4;63.1;80;RU;Сартынья;;Сартынья
23629;Игрим;63.18;64.4;29;RU;Игрим;Igrim;Игрим
23631;Березово;63.93;65.05;27;RU;Березово;Berezovo;Березово
23632;Казым;63.71;67.23;28;RU;Казым;Kazym;Кислор Запад
23635;Юильск;63.66;69.6;85;RU;Юильск;Yuilsk;Казым
23644;Нумто;63.5;71.4;109;RU;Нумто;;Нумто
23656;Халесовая;63.38;78.31;66;RU;Халесовая;Khalesovaya;Халесавэй
23657;Ноябрьск;63.11;75.28;130;RU;Ноябрьск;Noyabrsk;Ноябрьск
23662;Толька;63.98;82.08;31;RU;Толька;Tolka;Кики Акки Толька
23678;Верхнеимбатск;63.15;87.96;45;RU;Верхнеимбатск;Verhneimbatsk;В ерхнеимбатск
23691;Учами;63.81;96.45;106;RU;Учами;Uchami;Учами
23699;Кербо;62.71;101.11;230;RU;Кербо;Kerbo;Виви
23701;Весляна;62.99;50.89;101;RU;Весляна;Vesljana;Весляна
23707;Усть-Вымь;62.23;50.41;106;RU;Усть-Вымь;Ust-Vym;Усть-Вымь
23709;Помоздино;62.18;54.2;154;RU;Помоздино;Pomozdino;Помоздино
23711;Троицко-Печорское;62.7;56.18;133;RU;Троицко-Печорское;Troicko-Pechorskoe;Троицко-Печерск
23724;Няксимволь;62.43;60.86;49;RU;Няксимволь;Njaksimvol;Няксимволь
23726;Советский;61.4;63.6;120;RU;Советский;;Советский
23731;Шеркалы;62.7;65.5;40;RU;Шеркалы;;Шеркалы
23734;Октябрьское;62.45;66.05;70;RU;Октябрьское;Oktjabrskoe;Октябрьское
23738;Нягынь;62.2;65.5;50;RU;Нягынь;;Нягынь
23745;Кочевая;62.4;73.1;77;RU;Кочевая;;Кочевая
23748;Когалым;62.23;74.48;66;RU;Когалым;Kogalym;Когалым
23758;Радужный;62.15;77.31;67;RU;Радужный;Raduzhny;Радужный
23774;Келлог;62.48;86.27;58;RU;Келлог;Kellog;Келлог
23776;Бахта;62.46;89;57;RU;Бахта;Bakhta;Бахта
23788;Кузьмовка;62.31;92.11;60;RU;Кузьмовка;Kuzmovka;Кузьмовка
23803;Усть-Кулом;61.68;53.68;140;RU;Усть-Кулом;Ust-Kulom;Усть-Кулом
23804;Сыктывкар;61.67;50.78;116;RU;Сыктывкар;Syktyvkar;Сыктывкар город
23805;Сыктывкар аэропорт;61.6;50.8;104;RU;Сыктывкар аэропорт;;Сыктывкар аэропорт
23807;Пустошь;61.11;50.28;129;RU;Пустошь;Pustosh;Визинга
23812;Якша;61.83;56.86;130;RU;Якша;Yaksha;Якса
